	11_SUR	18_DCM	18_SUR	22_SUR	23_DCM	25_DCM	25_SUR	30_DCM	31_SUR	32_DCM	32_SUR	33_SUR	34_DCM	34_SUR	36_DCM	36_SUR	37_MES	38_DCM	38_MES	38_SUR	39_DCM	39_MES	39_SUR	41_DCM	41_SUR	42_DCM	42_SUR	45_SUR	46_SUR	48_SUR	52_DCM	52_SUR	56_MES	56_SUR	58_DCM	62_SUR	64_DCM	64_MES	64_SUR	65_DCM	65_SUR	66_DCM	66_SUR	67_SUR	68_DCM	68_MES	68_SUR	70_MES	70_SUR	72_DCM	72_MES	72_SUR	76_DCM	76_MES	76_SUR	78_DCM	78_MES	78_SUR	82_DCM	82_SUR	84_SUR	85_DCM	85_MES	85_SUR	100_DCM	100_MES	100_SUR	102_DCM	102_MES	102_SUR	109_DCM	109_SUR	111_DCM	111_MES	111_SUR	122_DCM	122_MES	122_SUR	123_DCM	123_SUR	124_DCM	124_SUR	125_DCM	125_SUR	137_DCM	137_MES	137_SUR	138_DCM	138_MES	138_SUR	155_DCM	155_MES	155_SUR	158_DCM	158_MES	158_SUR	163_MES	163_SUR	168_DCM	168_IZZ	168_SUR	173_DCM	173_SUR	175_IZZ	175_SUR	175_ZZZ	178_SUR	180_SUR	180_ZZZ	188_DCM	188_SUR	189_DCM	189_MES	189_SUR	191_SUR	193_SUR	194_DCM	194_SUR	196_SUR	201_DCM	201_MES	201_SUR	205_MES	205_SUR	206_MES	206_SUR	208_SUR	209_MES	209_SUR	210_MES	210_SUR
11_SUR	0.0000	81.2280	74.8241	77.0068	76.8142	75.5247	75.3483	85.4782	93.4962	96.6935	97.0766	95.7443	97.0621	94.2313	97.3903	96.5204	98.1916	95.5823	96.6916	94.6084	95.8619	96.5688	95.7684	97.5323	94.9246	95.7944	95.5553	95.9306	95.1833	96.0930	96.3437	95.7863	96.4045	95.6017	96.7731	96.0472	95.6680	96.0640	93.2019	93.5727	94.4169	89.2463	89.8561	94.8482	89.8955	94.9490	88.0933	94.4517	89.9128	94.8665	93.7820	92.6469	91.1821	94.8284	92.8297	91.3154	94.3116	91.8449	95.0525	95.4713	96.6543	97.5961	97.7219	97.1715	94.9506	96.6954	95.9473	94.5556	92.1208	94.4253	96.3704	94.0534	93.8519	95.6031	95.6982	96.6560	93.7609	95.3134	97.3537	96.2441	96.8746	96.3615	96.7973	96.8723	96.2282	94.5550	95.1680	95.4792	93.8425	95.7982	91.1633	91.8990	99.9064	94.2624	95.6376	92.9978	98.7669	97.8375	94.0388	93.7457	93.9887	95.1232	96.6038	95.8014	95.0444	95.1011	94.3617	95.6271	95.8238	95.6720	94.8939	96.8803	96.1756	97.1149	98.6758	96.8000	97.6616	97.6264	97.4246	97.6607	96.8693	97.4110	97.3731	97.5260	95.3603	97.9280	96.9113	94.9042	96.6476	98.1079	95.0334
18_DCM	89.3423	0.0000	74.3730	84.4426	77.0873	72.8116	79.4798	79.6623	93.5102	96.5180	94.3629	95.0627	95.1295	94.0636	96.3967	95.7762	97.9633	93.8737	96.7984	94.0976	94.0688	97.0581	94.4936	95.8807	94.1012	93.5630	94.2641	94.7025	94.1694	94.5320	91.8810	94.0046	97.2853	92.9326	94.0007	93.1200	90.8171	96.5521	90.0088	90.1798	90.7378	84.1565	85.0882	95.4269	81.2222	94.4469	81.1612	96.5629	84.3802	90.5704	92.5240	91.3235	88.5523	96.6952	90.5317	85.7952	95.1458	86.2515	96.4147	96.9550	97.8771	98.3020	97.7131	97.8117	90.5819	96.3124	95.9741	92.7771	93.4336	93.5455	94.5001	92.8773	91.7680	96.6275	95.5136	95.6478	95.8036	95.4527	95.3530	95.8964	95.3584	95.8589	96.9929	96.7351	92.7371	96.2022	93.7106	93.5407	96.2488	95.4446	90.2929	90.6411	99.9900	95.7105	97.8294	96.0272	99.1236	98.8045	96.4983	96.0903	96.6151	97.2203	98.1724	97.9888	95.8892	98.0700	97.5671	98.4680	97.5874	96.1347	96.7814	97.3863	95.9811	97.4738	98.7983	97.5698	98.3601	98.1948	98.3175	98.6725	98.2194	98.7286	98.0488	98.7998	97.7453	97.8941	97.9197	96.2583	97.4637	98.4406	96.8004
18_SUR	86.8533	76.4290	0.0000	81.8611	86.3971	77.3775	78.8984	86.6420	87.9328	93.1778	95.4543	94.0173	96.2517	90.2415	97.0288	93.7272	94.4072	93.6885	94.0986	93.2930	93.4718	92.3637	93.1345	96.8119	92.8595	94.2675	92.5127	93.2626	91.6986	94.7084	95.3445	94.2715	94.5741	92.8539	94.9702	94.3594	94.1859	92.0561	89.1502	91.0093	90.8278	86.2218	86.6907	94.3482	89.5320	92.3120	84.2654	90.8271	87.9423	95.2105	91.8922	90.3639	88.0664	91.5930	90.5442	90.2243	91.0058	88.2962	95.1223	95.1009	94.8893	97.2694	96.8413	96.5350	94.1611	94.1805	94.7311	94.1657	91.9041	93.2206	95.9231	91.8858	91.1657	93.3987	94.3873	95.4601	90.3543	93.9344	96.6144	95.5118	95.6627	94.7943	96.0433	96.3095	96.2767	91.5400	94.4409	94.7703	90.4796	94.6739	91.3059	93.0773	99.9268	95.0842	96.7161	93.5418	99.1399	98.1523	94.1847	94.1965	92.9930	95.8761	96.8335	96.6092	95.8930	95.4854	94.8381	96.4488	96.1523	94.2194	94.0506	95.6898	96.3032	95.8549	98.5719	96.6142	97.2694	97.6340	97.7703	97.4723	96.0792	97.8109	97.6673	97.1446	96.5269	98.3300	96.7101	94.5654	96.5035	97.5155	95.9150
22_SUR	87.8030	85.4643	81.5741	0.0000	68.6199	72.0396	64.6458	83.9019	93.0535	96.6763	96.6023	95.6529	97.1746	94.1679	97.0992	95.7892	97.2943	95.1112	96.9721	92.8796	94.5428	96.0212	94.9940	97.4669	95.7445	96.2948	96.0562	96.3098	95.4886	96.6797	96.3367	96.1985	97.2022	95.0631	96.5631	95.8545	95.6477	96.5857	93.5506	92.6905	93.5138	89.6309	89.7515	93.9406	90.6142	95.1142	88.8797	95.7537	90.6146	94.5441	94.1505	93.7550	92.1086	95.9486	93.4191	92.5658	94.8746	92.0717	96.4901	96.6664	97.9466	98.1890	98.4761	98.2024	94.8804	96.7001	96.3216	93.8502	93.6620	94.2239	96.1247	93.5847	94.3896	97.0727	96.2091	96.6944	95.8930	96.2140	97.1565	96.9544	96.4759	96.1107	97.1603	97.0201	95.9249	95.2433	95.4438	95.7641	95.2031	96.1980	91.5022	92.8174	99.9961	95.3737	97.4183	95.3754	99.1868	98.8546	95.6597	96.0105	95.6664	96.7401	97.3454	97.8574	96.1799	97.2991	96.8101	96.9919	96.4461	96.3150	96.5622	97.0917	95.9678	96.9415	98.4280	97.3096	97.2130	97.6858	97.9109	97.8644	97.3148	98.3305	97.8526	97.8319	97.4048	98.1141	97.2281	95.7211	96.7620	97.7273	96.1495
23_DCM	89.5050	81.7323	88.2087	73.2230	0.0000	66.6881	70.4887	78.9904	96.8910	98.4923	96.2381	96.6690	95.8941	96.9343	96.8650	97.5592	98.4960	95.6823	98.0417	95.1200	95.7440	98.4236	96.2561	96.5415	96.9619	95.8807	97.2311	97.4246	97.2013	97.0154	94.0723	96.0717	98.5512	96.0267	95.9337	95.7617	93.4613	97.1103	94.3199	93.0085	93.5363	87.7638	88.2158	95.2100	86.3234	95.5981	87.4982	98.4585	89.1311	90.6626	95.3813	95.2879	93.1934	98.4658	94.5499	90.7870	96.8879	92.0393	97.3746	97.7461	99.3659	98.5496	98.6920	99.1070	92.7696	96.9231	97.5819	92.8718	94.9058	95.2506	95.5201	95.3334	95.4165	97.9988	97.3636	97.1890	97.7963	97.7935	95.8114	97.3112	96.6891	97.5732	97.7376	98.0211	93.0241	97.5806	94.9330	94.0548	97.8205	97.2715	91.2946	91.0099	99.9942	96.0072	98.2952	96.8487	99.2921	98.6990	96.8954	96.4822	97.4097	97.3668	98.4919	98.7754	96.5922	98.5087	98.2721	99.0265	98.1882	97.3426	97.9364	97.7889	96.5790	98.0011	98.9512	98.4173	98.6597	98.4496	98.6392	98.8068	98.5260	98.7642	97.9372	98.9694	97.8824	97.9874	98.3078	96.7919	97.4975	98.4640	96.8700
25_DCM	89.5212	79.4971	81.4522	77.4329	68.4917	0.0000	71.8580	78.9821	91.8074	95.4574	95.8452	95.1547	94.8543	93.2083	97.0033	95.6705	95.6740	94.5886	95.6680	94.2105	94.6903	95.2292	95.0731	96.1595	94.8021	93.7983	95.1839	95.4165	94.3382	96.2041	93.6451	95.1807	96.8575	94.0923	95.4524	94.6055	92.9234	94.4688	90.9861	90.9606	91.3314	85.4021	86.1793	94.4744	85.9936	92.8746	84.0378	94.1907	86.0820	90.8058	92.6077	92.4914	89.2439	95.0355	91.7465	87.6039	92.9702	88.8567	96.3731	96.2506	96.6763	97.6167	97.1854	97.2121	91.6710	94.4855	95.8764	93.0759	93.2649	94.8035	95.9137	93.4995	91.9596	94.7226	95.3149	95.3626	93.6069	95.2924	94.6366	95.9300	95.2725	96.0783	95.6700	96.4747	92.7322	93.1818	94.5998	92.0336	92.4808	95.3748	90.5158	90.8057	99.9901	94.5101	96.8503	94.1378	99.1322	98.3132	94.7224	94.9091	94.8718	95.5687	96.7879	96.8972	94.6996	96.0102	95.2897	96.0430	96.0492	95.2693	95.1605	96.7847	95.1290	96.6750	98.4724	97.0161	97.0199	97.4407	97.8786	97.8682	96.8891	97.9110	97.4248	97.6086	95.8876	98.0034	97.2122	95.0970	96.4829	97.4594	95.3624
25_SUR	86.9333	80.8421	78.5809	64.6729	65.4421	65.1592	0.0000	77.8844	91.4599	95.4181	95.4299	95.3085	95.7481	93.5661	96.6143	95.5372	96.4836	94.5263	96.2241	92.9281	94.1406	96.2303	94.5229	96.7147	94.4324	95.0217	94.5718	95.1768	94.1737	95.3081	94.4137	94.8583	97.3323	93.7910	95.4520	94.6787	93.4611	95.8997	91.6923	91.7019	92.0465	86.9708	87.3670	95.0915	87.3941	94.2714	85.8001	95.1239	86.8288	92.4858	92.8188	92.0448	89.7172	95.8121	90.8023	89.3770	94.1905	89.4414	96.7444	96.6960	98.0609	97.9051	98.3921	98.1873	93.4242	97.1406	96.1055	93.7782	93.7112	94.1176	94.9925	92.6248	93.8223	97.0314	95.7857	96.0452	94.8836	96.2880	96.1914	96.0242	95.9300	96.0739	96.9101	96.9897	94.8710	95.4853	94.4252	94.8675	94.9961	95.4421	90.8604	91.8237	99.9951	95.2524	97.0941	96.0241	99.1449	98.7549	96.1208	96.7157	96.2549	96.7897	97.7835	98.3540	96.7763	97.3834	96.9420	96.8350	95.9709	96.3108	96.4923	97.0399	95.8749	96.9714	98.4777	97.3785	97.4870	97.7482	98.4105	97.7119	96.6601	98.1611	97.7193	97.4888	96.9813	98.0624	97.0465	95.8093	96.6694	97.3687	96.0162
30_DCM	91.9274	80.0867	85.7800	83.1299	74.1982	72.7104	76.8062	0.0000	92.9887	95.5889	94.4453	95.4504	94.7830	95.1191	96.3958	96.0856	96.3426	94.5048	96.8905	94.4325	94.0961	96.3199	94.3911	95.6016	95.1359	94.6791	95.3715	95.5093	95.2072	95.1057	92.0077	94.5063	96.9363	93.3752	94.8045	93.9946	90.8357	96.1538	91.0533	90.4060	90.5307	87.7969	88.3808	96.5364	85.2796	95.5381	85.9434	96.9414	86.7997	90.2199	92.9415	92.5282	89.0746	96.8528	90.5638	87.3132	95.4177	87.8592	97.0599	97.8084	98.2367	97.7164	98.6463	98.6917	91.9306	96.8968	96.6694	95.0145	95.3920	95.6268	94.7213	93.8038	93.7248	97.9091	96.1568	95.8480	96.6653	96.3983	94.3655	96.1795	95.2787	96.1541	96.4033	97.0059	93.7030	97.2194	94.3783	94.1027	97.1745	95.9368	93.7344	93.7279	99.9061	97.2975	98.2933	97.6165	99.3338	99.0589	97.8609	97.7036	97.9550	98.1201	98.8006	98.8893	97.5501	98.7014	98.4533	98.9854	98.2437	97.8495	97.9304	98.3463	97.4157	98.4455	99.2283	98.6974	98.8535	98.8534	99.0038	99.0137	98.5267	98.8932	98.5197	99.0889	98.4878	98.6014	98.6759	97.6139	98.2341	98.8003	97.9498
31_SUR	97.0944	94.8932	89.6761	94.1496	96.9315	91.4511	92.8019	94.3652	0.0000	85.8273	67.2989	75.6340	80.8076	75.6231	90.3515	88.5529	93.1349	85.4101	93.3031	86.6374	83.3253	93.2403	84.0882	89.4985	81.0511	83.0463	82.4371	85.0351	84.2281	86.3838	86.5067	86.1389	94.2878	82.2421	83.8139	82.0869	84.0923	93.9026	80.7522	83.5002	83.0213	87.6455	88.4886	96.1322	93.2210	95.1475	90.2501	93.2335	88.8169	92.0131	88.8468	83.1806	84.8903	94.4591	86.4418	88.3678	93.3847	86.9648	97.9199	98.1160	97.3200	98.4526	97.7460	97.1918	95.4313	96.3150	95.2820	95.7531	94.7669	95.3989	92.8850	86.5851	94.8518	96.7076	95.9365	94.1708	93.3412	93.6367	94.7138	93.4281	93.4255	93.5736	95.7796	94.6888	95.6044	95.0958	90.4383	93.9896	95.0225	90.9610	97.1885	97.4594	99.9799	98.1503	97.9423	97.9023	99.6911	99.5355	97.7779	98.3984	97.5933	98.3822	98.5630	98.8236	98.3567	98.2325	97.8277	97.9517	97.8848	97.2254	97.0447	98.4340	98.1976	98.2489	99.3139	98.3197	98.5771	99.0237	99.2802	98.8828	98.1766	99.0909	99.0887	98.8778	98.6705	99.5397	98.6862	97.5877	98.2317	98.8262	98.1829
32_DCM	96.4212	93.3618	85.8595	93.2182	96.3949	88.5159	90.6438	91.4113	65.6637	0.0000	79.7492	83.4564	81.8614	81.0708	94.6258	89.0643	84.9541	86.1059	84.3260	87.7472	85.4827	85.9916	84.5806	89.2309	86.4395	86.5106	85.9569	86.9027	84.7663	88.1944	89.6571	88.4127	90.5957	83.1465	88.5046	85.8559	86.7872	88.3155	80.1522	81.9420	80.8488	82.3322	83.0813	93.6325	91.9719	89.8696	86.0043	86.3706	84.1240	92.5262	86.3547	84.2601	82.5108	90.2152	84.3243	88.3399	88.5131	84.0701	95.6510	96.2678	94.2391	96.9212	96.1726	94.8689	94.4456	93.2250	94.4730	95.4263	93.1761	95.0679	93.2924	85.7208	90.8240	93.7891	93.2980	92.8847	88.5356	92.3950	93.0002	93.8092	92.2008	92.8210	93.8612	94.5246	95.2596	92.0295	91.3931	91.8972	90.1469	91.1581	95.6936	95.5472	99.7607	97.5634	96.8283	97.3884	99.2586	99.1889	98.0721	98.2916	97.5655	98.6159	98.8600	98.5943	98.4782	98.6278	97.5067	98.5722	97.4645	95.8191	95.5264	98.1777	97.7342	97.7274	99.3694	97.5225	98.4088	99.1589	99.3114	98.9568	97.7563	98.8934	98.8512	98.9470	98.9683	99.5114	98.3706	97.2620	98.0875	99.0130	98.3252
