	11_SUR	18_DCM	18_SUR	22_SUR	23_DCM	25_DCM	25_SUR	30_DCM	31_SUR	32_DCM	32_SUR	33_SUR	34_DCM	34_SUR	36_DCM	36_SUR	37_MES	38_DCM	38_MES	38_SUR	39_DCM	39_MES	39_SUR	41_DCM	41_SUR	42_DCM	42_SUR	45_SUR	46_SUR	48_SUR	52_DCM	52_SUR	56_MES	56_SUR	58_DCM	62_SUR	64_DCM	64_MES	64_SUR	65_DCM	65_SUR	66_DCM	66_SUR	67_SUR	68_DCM	68_MES	68_SUR	70_MES	70_SUR	72_DCM	72_MES	72_SUR	76_DCM	76_MES	76_SUR	78_DCM	78_MES	78_SUR	82_DCM	82_SUR	84_SUR	85_DCM	85_MES	85_SUR	100_DCM	100_MES	100_SUR	102_DCM	102_MES	102_SUR	109_DCM	109_SUR	111_DCM	111_MES	111_SUR	122_DCM	122_MES	122_SUR	123_DCM	123_SUR	124_DCM	124_SUR	125_DCM	125_SUR	137_DCM	137_MES	137_SUR	138_DCM	138_MES	138_SUR	155_DCM	155_MES	155_SUR	158_DCM	158_MES	158_SUR	163_MES	163_SUR	168_DCM	168_IZZ	168_SUR	173_DCM	173_SUR	175_IZZ	175_SUR	175_ZZZ	178_SUR	180_SUR	180_ZZZ	188_DCM	188_SUR	189_DCM	189_MES	189_SUR	191_SUR	193_SUR	194_DCM	194_SUR	196_SUR	201_DCM	201_MES	201_SUR	205_MES	205_SUR	206_MES	206_SUR	208_SUR	209_MES	209_SUR	210_MES	210_SUR
11_SUR	0.0000	85.2999	81.3387	83.4147	82.9915	82.9336	80.1678	88.4736	95.9798	98.0453	97.9794	97.9054	98.3939	97.1212	98.2105	97.9815	98.5203	96.7672	97.0458	96.9822	97.4831	97.3577	97.5186	98.5481	96.9888	98.0667	97.0280	97.3525	97.1206	97.3086	97.6801	97.6400	97.8276	97.5424	98.2169	97.7388	97.3864	97.7985	95.4939	96.7403	97.2782	94.0096	94.3719	96.8506	92.5124	96.0756	90.7208	95.7423	94.2794	97.4099	95.3849	95.3292	94.1224	95.3011	95.3473	94.9203	95.9219	94.7315	97.1553	98.1465	97.2110	98.5078	98.5983	97.8800	97.1668	98.3587	97.2425	95.9470	95.2753	95.3681	97.3222	96.6500	96.2173	97.4846	97.1122	98.0739	97.3365	96.8799	98.4972	97.3803	97.9934	97.2847	98.7240	97.7988	97.6730	97.9240	97.4916	97.8187	97.5881	97.8643	93.8490	94.9373	99.9353	97.3149	97.7404	96.1003	99.3624	99.1694	97.7588	97.4129	96.2481	97.8748	98.2953	98.1290	97.2844	97.8963	95.5904	98.0206	97.7983	96.9472	97.4948	98.2802	97.3756	98.2864	98.9044	97.6075	98.3420	98.4166	98.2824	98.9564	98.0179	98.5808	98.4782	98.8779	97.3655	98.4673	98.3286	97.4869	98.3461	98.8425	97.6013
18_DCM	85.2999	0.0000	68.7291	84.5048	76.3962	71.2325	77.0738	72.1654	92.4234	96.6135	93.4064	95.7541	95.2324	95.0486	96.2554	95.9399	97.4357	93.9598	97.0499	94.7434	94.5787	96.9794	94.9927	95.7802	92.9376	93.7100	93.0329	93.4902	93.5730	93.2695	91.3294	93.9197	96.7020	93.1243	93.9877	93.0731	90.8194	96.7449	89.5983	91.3710	92.3156	86.3665	86.8906	96.1645	77.5323	94.1187	77.6988	95.8504	85.2441	90.3302	92.1751	90.2576	88.2072	96.1358	89.8719	85.2895	94.3960	84.6702	94.6326	94.7762	97.7346	97.6541	98.0231	97.7622	89.3793	97.4643	94.9144	92.3016	93.4476	92.0697	93.9174	93.5311	90.7830	97.5074	94.2609	95.2687	97.3359	94.9190	95.5387	94.9882	95.1227	95.1307	97.4250	95.9872	92.6685	97.5673	94.4369	94.4495	97.6667	94.9263	90.1899	91.8294	99.9947	96.9279	98.4653	96.5264	99.1653	99.3118	97.6904	97.3679	96.6957	97.8083	98.3215	98.4427	96.5612	98.5755	98.1287	98.8418	97.4494	95.8855	97.1696	97.6743	96.0514	97.4871	98.4357	97.0662	98.0334	98.0246	98.0170	98.8130	98.1754	98.5770	98.0900	98.8826	98.3342	97.4912	98.0088	97.0281	97.8871	99.0279	97.3080
18_SUR	81.3387	68.7291	0.0000	77.7621	87.9334	73.1191	76.0130	85.4018	86.1230	90.1977	95.5420	94.7328	97.1077	90.7299	96.4583	92.5010	93.6721	94.0414	94.9943	93.2752	94.3971	92.7923	94.4332	97.3113	93.1449	94.9511	92.5743	93.5185	91.8967	94.6753	95.9158	95.3902	94.5779	93.9377	95.8736	94.8339	95.2814	93.6345	90.8376	92.5843	93.3820	89.5356	89.4257	95.4015	90.0082	92.9519	80.0317	89.2035	90.1529	96.1815	92.6124	91.2789	88.1950	91.9467	91.2149	91.2550	91.0194	89.3789	95.9425	96.7577	94.8606	98.0413	97.1840	96.8104	94.5334	95.8103	94.3160	93.8866	91.1623	91.5638	96.1486	91.4406	90.9257	93.8798	94.2477	94.9533	92.4342	91.8508	97.0687	95.4697	94.9264	92.0715	96.5812	93.8586	96.7493	93.2222	95.3906	95.9696	90.9762	93.6197	91.3024	94.1873	99.9576	95.8363	97.2022	93.2194	99.2514	98.7691	95.9630	95.3850	88.6819	97.1266	97.2528	96.7494	95.4808	96.3134	95.0760	94.9144	94.6836	93.5410	95.0623	96.6382	95.8075	96.2126	98.2958	95.6170	96.3702	97.5537	96.8421	97.4314	94.0367	98.0523	97.9924	96.7060	97.1754	98.1801	96.3706	94.8801	95.9903	97.5727	95.6594
22_SUR	83.4147	84.5048	77.7621	0.0000	64.2165	72.9213	53.1601	81.4589	93.8877	96.6385	96.5339	96.1170	97.4136	94.9256	96.5474	95.2255	96.8848	93.9399	97.0088	92.9731	94.7844	96.0929	95.1282	97.5742	95.6527	97.1769	95.5172	96.0442	95.7254	96.1470	96.5849	96.5831	97.6138	95.9180	97.0642	96.1538	96.0846	97.5018	93.9537	93.8801	94.9400	91.5184	91.5093	94.3131	90.3182	95.0591	88.2924	94.8797	92.0793	95.5478	94.0165	94.1894	92.3128	95.3610	93.4441	92.8730	94.2697	92.0773	96.4723	97.5813	97.4439	98.2378	98.3073	97.5997	95.4078	97.5522	95.6757	93.1078	93.6041	92.8207	95.6097	94.1266	94.1281	97.8162	95.4751	96.8726	97.2371	95.7871	97.3842	96.2593	96.6301	95.6726	97.9065	96.6102	96.1503	96.9467	96.0719	96.5958	96.4435	96.6694	91.3678	93.3564	99.9954	96.2710	98.0237	95.7310	99.1811	99.1990	97.1762	97.1503	94.6159	97.5666	97.9223	98.2878	96.6962	98.0968	96.9223	96.8056	95.3037	95.4781	96.6733	97.4729	95.5841	97.0561	98.2193	96.4597	96.8868	97.6551	97.7574	97.8669	96.2712	98.4157	98.0588	97.6303	98.1105	97.7686	96.8134	96.8129	96.4738	98.0458	96.2501
23_DCM	82.9915	76.3962	87.9334	64.2165	0.0000	64.7293	62.2339	72.6733	97.0951	97.5980	96.1294	96.7701	95.7798	96.8774	96.6958	97.4972	98.7489	95.5962	98.0953	95.1729	95.8647	98.7130	96.2511	96.4479	96.4933	95.9905	96.6571	96.8381	97.0107	96.4171	94.2725	96.0725	98.9372	96.3676	96.4216	96.1183	94.0333	97.7700	94.9776	94.1947	94.6514	89.9226	90.3775	94.6959	84.8310	95.9605	87.2478	98.7493	90.0726	89.9855	95.5556	95.2313	93.8292	98.2701	94.6724	91.0340	97.2582	91.9655	94.6253	94.6035	99.0897	98.2592	98.6736	98.7257	91.2108	97.2464	96.3462	91.5467	94.2595	93.1145	94.8985	95.3956	93.8866	98.3751	95.9738	96.6613	98.2178	96.9478	95.7427	96.4846	96.2299	96.7830	97.5548	97.2390	92.6682	98.2548	95.3352	94.3292	98.5482	97.0548	90.2744	91.5305	99.9962	96.6572	98.6087	97.1871	99.1091	99.2227	97.3313	97.1177	97.8461	97.4519	98.2600	98.7284	96.7959	98.5837	98.5565	99.1867	97.7648	96.9322	97.5906	97.4446	96.2833	97.4779	98.2730	97.8649	98.0170	97.7988	97.9147	98.7503	98.4416	98.4232	97.7476	98.8459	98.1509	97.2653	97.8662	96.9356	97.6086	99.0009	96.8870
25_DCM	82.9336	71.2325	73.1191	72.9213	64.7293	0.0000	64.2563	73.5463	90.0623	89.7760	95.5789	95.7472	94.2529	93.6733	97.0594	95.5008	95.4329	93.6378	94.7458	94.2104	94.9446	93.4849	95.2268	95.8041	93.5857	93.1134	92.3599	94.2386	93.1833	94.9762	93.6938	95.4025	95.0384	93.9710	95.8839	94.3341	93.5806	94.7477	90.5245	91.3648	92.5808	86.2580	86.9989	94.5922	83.3614	90.3874	79.4294	90.0322	85.0552	90.4093	91.4677	91.2708	88.4991	92.3373	90.8060	86.3902	89.1072	87.1570	95.4492	96.7509	94.9064	97.2777	96.0445	95.3410	89.1308	94.6583	94.4396	91.6529	92.1068	92.8994	95.2032	92.9810	88.6425	94.2271	93.6846	93.9849	94.1320	93.7591	93.7999	94.3246	94.4267	94.2278	95.2778	94.9460	91.8485	94.1610	94.9461	92.1265	92.7025	95.1271	88.9580	90.4383	99.9875	95.0076	96.1095	93.4309	98.9957	98.7164	96.0487	95.7594	92.3754	96.4090	96.9754	96.8882	94.5077	96.5887	91.6876	94.7307	93.4914	93.4095	94.9021	97.0435	94.1638	96.4889	98.1005	95.1999	96.1803	97.3397	97.0634	97.5716	95.4819	97.9251	97.5184	97.2555	95.7680	97.4533	96.2560	95.4933	95.4200	96.4275	95.0364
25_SUR	80.1678	77.0738	76.0130	53.1601	62.2339	64.2563	0.0000	73.0723	91.4162	90.6466	95.0818	95.7829	96.0409	94.2368	96.5024	95.9586	96.3010	93.8323	96.3912	93.5250	94.5085	95.8970	94.8422	96.7615	93.6124	95.6534	93.7143	94.2393	94.0726	94.3715	94.6961	95.2011	97.7007	94.3868	95.9030	94.7567	94.0802	96.8899	91.9406	93.2398	93.8422	89.6724	90.1543	95.5351	87.1080	94.3476	85.4941	92.3115	88.5263	93.5989	92.6223	92.0363	89.6566	94.6215	89.9326	89.7051	92.2099	89.0257	96.5819	97.5710	97.6296	97.9802	98.1028	97.5399	93.5200	97.7222	94.8373	93.3269	93.3545	92.4817	94.2861	92.9942	93.1545	97.8126	94.5867	95.9291	96.3786	95.0601	96.2512	94.8532	95.7274	95.1129	97.8282	95.9150	95.1085	97.2244	95.0938	95.6423	96.1374	95.5039	90.4144	92.6022	99.9920	95.9799	96.7276	96.8755	99.1086	99.0401	97.3137	97.7816	96.4451	97.5467	98.0289	98.4934	97.2153	98.0179	96.8445	95.6349	94.2370	95.5014	96.4963	97.4590	95.4549	97.0127	98.2083	96.4981	96.8085	97.6127	98.0935	97.7265	95.5654	98.2979	97.9627	97.2481	97.7418	97.7035	96.6866	96.6115	96.3656	96.5292	95.8282
30_DCM	88.4736	72.1654	85.4018	81.4589	72.6733	73.5463	73.0723	0.0000	94.1380	95.0021	94.1247	96.0715	94.8056	95.9040	96.7895	96.8132	95.9458	94.7043	97.5218	95.1087	94.8626	97.4064	95.1001	95.8770	94.5111	95.5373	94.4749	94.6811	95.3206	93.8898	92.0013	94.5889	98.2542	94.4319	95.4357	94.5942	91.3801	97.2492	92.0870	92.2388	92.5757	90.6633	90.9409	97.3508	83.4807	96.1911	85.6570	96.8771	88.1766	90.7663	93.2659	92.5391	89.7620	97.1347	90.4147	87.8232	95.5372	87.7008	97.3790	98.2902	98.6042	97.7051	98.8604	98.6914	91.3621	97.5297	95.3882	94.5424	95.0012	93.9227	94.0211	94.3665	92.3260	98.5111	94.5421	95.3350	97.7101	95.4194	94.3863	95.0507	94.9567	95.2359	96.4192	95.8788	93.6983	98.3372	95.0400	94.8349	97.9820	95.5627	93.5607	94.4517	99.9561	97.9336	98.6674	98.0772	99.2707	99.3913	98.4588	98.3804	98.4659	98.4188	98.7941	99.0000	97.8752	98.9248	98.8014	99.0992	98.1529	97.7502	98.1025	98.3597	97.4108	98.3104	98.8410	98.4201	98.5500	98.5598	98.6299	99.0992	98.4530	98.8547	98.5277	99.0671	98.8372	98.1559	98.6573	98.0552	98.4488	98.9492	98.2128
31_SUR	95.9798	92.4234	86.1230	93.8877	97.0951	90.0623	91.4162	94.1380	0.0000	71.2326	64.0160	74.1309	82.7157	72.5479	90.1058	84.8995	90.2810	84.6324	91.1447	86.2796	83.1839	91.2498	84.0343	90.1718	77.9287	84.3767	78.1434	80.0249	81.0624	82.8726	86.4758	85.8617	92.1760	81.4746	82.9119	80.4853	84.0847	92.0267	79.6338	83.8002	84.1686	89.0024	89.1514	96.8814	93.1044	93.6998	89.0009	89.0597	88.4521	92.3804	87.0064	79.5766	83.6794	92.1331	84.1727	88.3466	92.4426	84.9393	98.3816	98.8466	95.6014	98.8170	97.0389	96.0901	95.5008	97.0306	93.4402	96.0016	95.0204	94.6490	92.5330	87.1229	94.2698	96.9139	94.9171	94.1362	94.7404	91.7121	94.9759	92.7609	93.6331	92.9262	96.8103	93.5288	96.0281	96.8061	91.2351	94.9550	96.2035	88.8728	97.0941	97.5696	99.9811	98.2842	97.8965	98.0768	99.6777	99.5889	98.4781	98.9669	97.2435	98.8277	98.7327	98.9852	98.6734	98.6190	97.5498	97.5187	96.7514	95.4026	96.8345	98.6087	97.5437	97.7147	99.1780	96.4908	98.0488	98.9128	99.2386	98.5409	97.0117	99.1649	99.1360	98.3426	98.9621	99.4415	98.2211	98.0251	97.6396	98.5850	97.9342
32_DCM	98.0453	96.6135	90.1977	96.6385	97.5980	89.7760	90.6466	95.0021	71.2326	0.0000	86.4381	91.4670	87.1246	89.7912	97.7391	93.3886	77.6031	91.9043	87.2461	92.9555	92.4023	89.2630	92.8946	95.1490	90.5420	91.6925	93.2128	93.7129	90.3042	92.9048	96.8403	95.7547	93.2076	88.8330	93.8837	94.5315	90.4871	90.9151	83.8432	88.1892	87.4453	89.4425	88.6931	97.5170	94.8234	90.2322	87.3257	70.3804	87.0527	97.3061	93.6587	88.7102	85.9186	93.2575	87.3841	95.7013	88.7527	90.4910	98.3254	98.6332	96.4795	98.8361	98.1359	97.3884	97.9061	97.5703	96.8225	97.3912	95.6667	96.8538	95.1425	91.2280	95.3667	95.9948	95.1406	93.9158	94.3965	95.3128	97.0212	96.6055	94.9454	95.5196	96.3331	97.1783	98.3420	97.1875	95.6085	96.1590	94.4446	91.9327	98.0903	98.0436	99.9359	99.0397	97.9412	98.7579	99.6735	99.4922	99.3619	99.3449	98.8930	99.4171	99.3863	99.3082	99.2058	99.3620	98.7860	99.2830	98.5462	97.2109	97.8197	99.2523	98.5873	98.8712	99.5601	98.1224	99.1232	99.4738	99.4262	99.4718	98.5107	99.4760	99.3811	99.4746	99.5468	99.6472	99.3477	98.6642	98.7173	99.2555	99.0334
32_SUR	97.9794	93.4064	95.5420	96.5339	96.1294	95.5789	95.0818	94.1247	64.0160	86.4381	0.0000	60.7115	71.4450	64.8898	82.2337	85.4985	97.3033	82.8057	97.4668	83.2203	78.6243	97.9872	80.5598	86.3267	72.3174	79.8832	76.4928	77.5287	80.7266	78.4183	79.8679	82.0960	97.5466	78.1939	77.1974	75.1928	76.8911	98.3061	79.8576	82.8169	81.9219	91.6593	92.2832	98.6196	91.4980	98.4116	92.3893	97.4157	88.9149	88.9628	87.9702	78.0123	84.9921	98.6021	84.8508	86.3476	97.9541	86.1511	99.2044	99.3517	99.5852	99.4330	99.3067	99.2682	94.8464	98.7440	94.7187	95.3114	94.9174	93.3309	89.7081	85.6808	95.7850	99.0133	94.8752	93.0529	98.1003	92.1040	94.3406	91.0423	92.0102	91.3478	96.0493	91.5407	94.4717	98.5646	88.8652	94.1652	98.7134	85.7277	98.1451	98.4598	99.9930	99.3949	99.6430	99.3843	99.8008	99.8000	99.4859	99.4355	99.4651	99.5060	99.6169	99.6732	99.2798	99.6685	99.6252	99.7564	99.5036	99.1447	99.3895	99.4488	99.2274	99.4177	99.6037	99.4019	99.5338	99.5045	99.5364	99.6804	99.6014	99.5905	99.4942	99.7135	99.6005	99.4440	99.5678	99.3863	99.5106	99.7541	99.4244
33_SUR	97.9054	95.7541	94.7328	96.1170	96.7701	95.7472	95.7829	96.0715	74.1309	91.4670	60.7115	0.0000	81.5026	49.3600	75.6129	77.0880	93.8509	78.3857	96.4937	78.2732	74.5100	96.9119	75.7967	88.6079	81.1688	87.4505	85.4884	88.2809	84.5588	89.2672	89.5502	88.5412	96.8753	86.5053	84.5656	83.4036	86.3924	97.9684	86.1035	84.9516	84.0314	92.4281	92.8727	98.0838	93.8964	97.9575	93.5066	97.3353	92.0017	94.0541	92.5863	87.8786	89.3899	98.4175	91.3197	89.7432	97.1965	90.1964	99.2145	99.3420	99.3308	99.4579	99.1086	99.1204	96.0855	98.5201	96.0862	94.9229	94.9235	93.5509	91.9754	86.7179	96.3525	98.3818	95.9523	95.2114	97.4056	94.2471	95.7920	92.4414	93.4574	92.4668	97.0203	91.4505	95.7188	98.0662	91.2483	95.6496	98.2599	91.4381	98.2257	98.4992	99.9923	99.3049	99.5570	99.1024	99.7970	99.7830	99.2994	99.1562	99.0310	99.4191	99.4846	99.5262	99.1320	99.4973	99.3169	99.5444	99.3867	98.8559	99.1742	99.3871	99.1976	99.3525	99.6066	99.2961	99.4251	99.4972	99.4840	99.6169	99.4671	99.6187	99.5258	99.6446	99.5172	99.5526	99.5166	99.0865	99.3561	99.6545	99.1920
34_DCM	98.3939	95.2324	97.1077	97.4136	95.7798	94.2529	96.0409	94.8056	82.7157	87.1246	71.4450	81.5026	0.0000	82.8102	90.6170	92.7239	96.5856	89.0086	95.9834	91.4350	89.1199	96.9841	90.4786	84.6485	91.5679	80.2228	92.7531	93.9132	92.8329	92.9455	84.7883	91.2660	97.7356	90.1413	88.7349	86.7714	84.2979	97.5200	86.3263	87.8937	87.2785	92.7435	93.4760	98.7534	92.6659	97.0170	92.7573	97.4966	92.2166	87.0398	93.0344	91.0887	89.7208	98.0176	91.8312	90.3062	97.3458	91.5878	98.1167	98.4964	99.3925	99.1656	98.6674	99.1724	94.4506	96.5667	97.9472	95.7078	96.3457	96.8446	95.0946	94.0320	95.6717	97.7140	97.7501	92.7807	97.6919	96.2840	89.1334	95.5168	92.5485	95.8687	91.4447	95.9429	90.9906	97.9812	94.0523	91.4653	97.6960	95.2003	97.8620	97.8038	99.9937	99.2045	99.3890	99.1805	99.7615	99.7324	99.2653	99.1848	99.1876	99.3236	99.4679	99.4989	98.9783	99.5085	99.4629	99.7333	99.3707	98.8586	99.1710	99.2883	98.6977	99.2955	99.5719	99.2452	99.4257	99.4627	99.4946	99.5648	99.4160	99.4301	99.2753	99.6304	99.4202	99.3778	99.4689	99.1724	99.4001	99.6577	99.2338
34_SUR	97.1212	95.0486	90.7299	94.9256	96.8774	93.6733	94.2368	95.9040	72.5479	89.7912	64.8898	49.3600	82.8102	0.0000	72.0757	72.5942	91.6051	77.1516	95.6613	77.5820	74.2474	95.3099	75.2382	89.0891	78.6732	88.2770	83.8704	88.0818	84.1051	90.1897	90.8375	89.8801	96.1335	87.7125	86.5998	85.4489	87.7884	96.8363	85.6788	85.5380	85.3285	87.2577	89.3397	97.1957	93.9215	96.0913	91.3601	94.9301	91.7113	94.7373	92.2011	87.7808	88.3054	96.8728	90.9654	89.8521	95.0975	89.7091	98.7005	98.8261	98.5465	99.1675	98.6578	98.4451	96.0857	97.9181	95.9600	94.8230	94.2557	92.9170	92.0589	85.9913	95.4634	97.8456	95.4790	94.7885	96.2813	93.8485	95.9003	92.1238	93.3799	92.0777	96.8089	91.2414	96.1781	97.0213	92.1910	96.0147	96.7792	92.3755	97.4951	98.0840	99.9932	99.0218	99.0569	98.4915	99.7502	99.7054	99.0259	98.6919	98.0080	99.2812	99.2899	98.9187	98.7405	99.2682	98.9454	99.2052	98.8831	97.8573	98.4445	99.0277	98.8365	99.0928	99.5526	98.7888	99.1419	99.4082	99.2240	99.5102	98.9724	99.5646	99.4752	99.5011	99.4735	99.5294	99.2086	98.6626	99.1724	99.5313	99.0842
36_DCM	98.2105	96.2554	96.4583	96.5474	96.6958	97.0594	96.5024	96.7895	90.1058	97.7391	82.2337	75.6129	90.6170	72.0757	0.0000	39.8599	96.8335	58.4383	98.0932	52.5730	67.8376	98.8546	71.0187	88.8181	83.8753	92.3939	90.0613	93.0189	89.1611	93.8384	92.0903	92.0490	99.1764	92.1576	90.4958	89.9634	89.3284	99.2756	90.6196	88.8476	88.0811	93.6103	94.2056	98.2602	94.2759	99.0760	95.0505	99.1189	94.1740	95.7371	95.5620	92.2454	92.4640	99.4828	94.6945	91.6373	99.0147	92.7466	99.3779	99.5308	99.7756	99.5855	99.6561	99.6486	96.6103	99.2925	96.8698	93.8823	94.3136	92.3217	91.3973	86.5305	97.6450	99.4917	97.0309	96.7542	98.8921	96.0983	97.2823	93.8667	95.1152	93.9773	98.2683	92.7302	96.4922	99.1601	92.0976	97.2742	99.4130	94.7710	98.3184	98.6080	99.9962	99.4477	99.7697	99.4498	99.8326	99.8421	99.5358	99.4700	99.5560	99.5758	99.7082	99.7542	99.4562	99.7448	99.7121	99.8134	99.6087	99.3587	99.5578	99.5569	99.4113	99.5371	99.6739	99.5403	99.6205	99.5649	99.5827	99.7343	99.7336	99.6846	99.5866	99.7770	99.6435	99.5638	99.6265	99.4614	99.5409	99.8074	99.4178
